postcode;plaats;provincie;gemeente;nummer;latitude;longitude;nummer2
7894;Zwartemeer;Drenthe;Emmen;0114;52.7192;7.0417;4
7895;Roswinkel;Drenthe;Emmen;0114;52.8375;7.0389;4
7900;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7901;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7902;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7903;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7904;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7905;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7906;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7907;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7908;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7909;Hoogeveen;Drenthe;Hoogeveen;0118;52.7225;6.4764;4
7911;Nieuweroord;Drenthe;Hoogeveen;0118;52.7267;6.5625;4
7912;Nieuweroord;Drenthe;Hoogeveen;0118;52.7267;6.5625;4
7913;Hollandscheveld;Drenthe;Hoogeveen;0118;52.7058;6.5389;4
7914;Noordscheschut;Drenthe;Hoogeveen;0118;52.7242;6.5361;4
7916;Elim;Drenthe;Hoogeveen;0118;52.6808;6.5806;4
7918;Nieuwlande (Drenthe) (gemeente Hoogeveen);Drenthe;Hoogeveen;0118;52.6958;6.6139;4
7931;Fluitenberg;Drenthe;Hoogeveen;0118;52.7358;6.4542;4
7933;Pesse;Drenthe;Hoogeveen;0118;52.7725;6.4542;4
7934;Stuifzand;Drenthe;Hoogeveen;0118;52.7475;6.5;4
7936;Tiendeveen;Drenthe;Hoogeveen;0118;52.7475;6.5444;4
7940;Meppel;Drenthe;Meppel;0119;52.6958;6.1944;4
7941;Meppel;Drenthe;Meppel;0119;52.6958;6.1944;4
7942;Meppel;Drenthe;Meppel;0119;52.6958;6.1944;4
7943;Meppel;Drenthe;Meppel;0119;52.6958;6.1944;4
7944;Meppel;Drenthe;Meppel;0119;52.6958;6.1944;4
7948;Nijeveen;Drenthe;Meppel;0119;52.7333;6.1681;4
7949;Rogat;Drenthe;Meppel;0119;52.6883;6.2653;4
7966;De Schiphorst;Drenthe;Meppel;0119;52.6817;6.25;4
9443;Schoonloo;Drenthe;Aa en Hunze;1680;52.9058;6.7;4
9444;Grolloo;Drenthe;Aa en Hunze;1680;52.935;6.6722;4
