postcode;provincie;gemeente;lat;long
7933;Pesse;Drenthe;Hoogeveen;527.725;64.542
7934;Stuifzand;Drenthe;Hoogeveen;527.475;6.5
7936;Tiendeveen;Drenthe;Hoogeveen;527.475;65.444
7940;Meppel;Drenthe;Meppel;526.958;61.944
7941;Meppel;Drenthe;Meppel;526.958;61.944
7942;Meppel;Drenthe;Meppel;526.958;61.944
7943;Meppel;Drenthe;Meppel;526.958;61.944
7944;Meppel;Drenthe;Meppel;526.958;61.944
7948;Nijeveen;Drenthe;Meppel;527.333;61.681
7949;Rogat;Drenthe;Meppel;526.883;62.653
7966;De Schiphorst;Drenthe;Meppel;526.817;6.25
9443;Schoonloo;Drenthe;Aa en Hunze;529.058;6.7
9444;Grolloo;Drenthe;Aa en Hunze;52.935;66.722
9445;Vredenheim;Drenthe;Aa en Hunze;529.383;66.361
9446;Amen;Drenthe;Aa en Hunze;529.425;66.111
9447;Papenvoort;Drenthe;Aa en Hunze;529.525;67.028
9448;Marwijksoord;Drenthe;Aa en Hunze;529.608;66.597
9449;Nooitgedacht (Aa en Hunze);Drenthe;Aa en Hunze;529.683;66.625
9450;Rolde;Drenthe;Aa en Hunze;529.842;66.486
9451;Rolde;Drenthe;Aa en Hunze;529.842;66.486
9452;Nijlande;Drenthe;Aa en Hunze;529.742;66.278
9453;Eldersloo;Drenthe;Aa en Hunze;529.658;66.181
9454;Ekehaar;Drenthe;Aa en Hunze;529.525;66.028
9455;Geelbroek;Drenthe;Aa en Hunze;529.508;65.736
9456;Eleveld;Drenthe;Aa en Hunze;529.575;65.806
9457;Deurze;Drenthe;Aa en Hunze;52.985;66.097
9458;Balloo;Drenthe;Aa en Hunze;529.958;66.306
9460;Gieten;Drenthe;Aa en Hunze;53.005;67.639
9461;Gieten;Drenthe;Aa en Hunze;53.005;67.639
9462;Gasselte;Drenthe;Aa en Hunze;529.717;67.944
9463;Eext;Drenthe;Aa en Hunze;530.175;67.347
9464;Eexterzandvoort;Drenthe;Aa en Hunze;53.035;67.847
9465;Anderen;Drenthe;Aa en Hunze;53;66.861
9466;Gasteren;Drenthe;Aa en Hunze;53.035;66.639
9467;Anloo;Drenthe;Aa en Hunze;530.442;67.014
9468;Annen;Drenthe;Aa en Hunze;530.575;67.194
9469;Schipborg;Drenthe;Aa en Hunze;53.075;66.708
9510;Gieterveen;Drenthe;Aa en Hunze;530.275;68.375
9511;Gieterveen;Drenthe;Aa en Hunze;530.275;68.375
9512;Nieuwediep;Drenthe;Aa en Hunze;530.425;68.583
9514;Gasselternijveen;Drenthe;Aa en Hunze;529.883;68.528
9515;Gasselternijveenschemond;Drenthe;Aa en Hunze;529.945;68.982
9654;Annerveenschekanaal;Drenthe;Aa en Hunze;530.775;68.014
9655;Oud Annerveen;Drenthe;Aa en Hunze;530.875;67.639
9656;Spijkerboor;Drenthe;Aa en Hunze;530.767;67.667
9657;Nieuw Annerveen;Drenthe;Aa en Hunze;530.667;67.764
9658;Eexterveen;Drenthe;Aa en Hunze;530.533;68.028
9659;Eexterveenschekanaal;Drenthe;Aa en Hunze;530.558;68.375
7858;Eeserveen;Drenthe;Borger-Odoorn;528.675;67.653
7859;Eeserveen;Drenthe;Borger-Odoorn;528.675;67.653
7871;Klijndijk;Drenthe;Borger-Odoorn;528.317;68.597
7872;Valthe;Drenthe;Borger-Odoorn;528.458;68.944
7873;Odoorn;Drenthe;Borger-Odoorn;528.492;68.514
7874;Odoornerveen;Drenthe;Borger-Odoorn;52.845;67.819
7875;Exloo;Drenthe;Borger-Odoorn;528.825;68.639
7876;Valthermond;Drenthe;Borger-Odoorn;528.817;69.625
7877;Tweede Valthermond;Drenthe;Borger-Odoorn;528.942;70.278
9520;Nieuw-Buinen;Drenthe;Borger-Odoorn;529.625;6.95
9521;Nieuw-Buinen;Drenthe;Borger-Odoorn;529.625;6.95
9523;Drouwenermond;Drenthe;Borger-Odoorn;529.783;69.056
9524;Buinerveen;Drenthe;Borger-Odoorn;529.367;68.792
9525;Drouwenerveen;Drenthe;Borger-Odoorn;529.692;6.85
9526;Bronnegerveen;Drenthe;Borger-Odoorn;52.955;68.375
9527;Bronneger;Drenthe;Borger-Odoorn;529.467;68.153
9530;Borger;Drenthe;Borger-Odoorn;529.233;67.931
9531;Borger;Drenthe;Borger-Odoorn;529.233;67.931
9533;Drouwen;Drenthe;Borger-Odoorn;529.533;67.958
9534;Westdorp;Drenthe;Borger-Odoorn;52.905;67.667
9535;Ellertshaar;Drenthe;Borger-Odoorn;528.925;67.375
9536;Ees;Drenthe;Borger-Odoorn;529.083;68.056
9537;Eesergroen;Drenthe;Borger-Odoorn;52.89;67.792
9570;Tweede Exloërmond;Drenthe;Borger-Odoorn;529.092;69.333
9571;Tweede Exloërmond;Drenthe;Borger-Odoorn;529.092;69.333
9573;Eerste Exloërmond;Drenthe;Borger-Odoorn;52.935;69.361
9574;Exloërveen;Drenthe;Borger-Odoorn;529.067;69.083
7705;Drogteropslagen;Drenthe;De Wolden;526.225;64.986
7924;Veeningen;Drenthe;De Wolden;52.67;63.694
7926;Kerkenveld;Drenthe;De Wolden;526.683;6.5
7927;Alteveer (De Wolden);Drenthe;De Wolden;52.675;64.861
7935;Eursinge (De Wolden);Drenthe;De Wolden;527.775;64.444
7957;de Wijk;Drenthe;De Wolden;526.733;62.903
7958;Koekange;Drenthe;De Wolden;526.992;63.167
7960;Ruinerwold;Drenthe;De Wolden;527.233;62.486
7961;Ruinerwold;Drenthe;De Wolden;527.233;62.486
7963;Ruinen;Drenthe;De Wolden;527.625;63.542
7964;Ansen;Drenthe;De Wolden;527.808;63.361
9528;Buinen;Drenthe;De Wolden;527.625;63.542
9300;Roden;Drenthe;Noordenveld;531.375;64.208
9301;Roden;Drenthe;Noordenveld;531.375;64.208
9302;Roden;Drenthe;Noordenveld;531.375;64.208
9304;Lieveren;Drenthe;Noordenveld;531.158;64.528
9305;Roderesch;Drenthe;Noordenveld;53.115;64.236
9306;Alteveer;Drenthe;Noordenveld;531.117;64.347
9311;Nieuw-Roden;Drenthe;Noordenveld;531.317;63.972
9312;Nietap;Drenthe;Noordenveld;531.592;6.4
9313;Leutingewolde;Drenthe;Noordenveld;531.583;64.319
9314;Foxwolde;Drenthe;Noordenveld;53.16;64.597
9315;Roderwolde;Drenthe;Noordenveld;531.683;64.694
9320;Peize;Drenthe;Noordenveld;531.467;64.972
9321;Peize;Drenthe;Noordenveld;531.467;64.972
9330;Norg;Drenthe;Noordenveld;530.667;64.583
9331;Norg;Drenthe;Noordenveld;530.667;64.583
9333;Langelo;Drenthe;Noordenveld;530.933;64.458
9334;Peest;Drenthe;Noordenveld;530.592;64.972
9335;Zuidvelde;Drenthe;Noordenveld;530.458;64.583
9342;Een;Drenthe;Noordenveld;530.767;63.958
9343;Een-West;Drenthe;Noordenveld;53.085;63.389
9661;Alteveer;Drenthe;Noordenveld;531.117;64.347
7970;Havelte;Drenthe;Westerveld;527.694;62.401
7971;Havelte;Drenthe;Westerveld;527.694;62.401
7973;Darp;Drenthe;Westerveld;52.775;62.042
7974;Havelterberg;Drenthe;Westerveld;527.742;61.819
7975;Uffelte;Drenthe;Westerveld;52.79;62.806
7980;Diever;Drenthe;Westerveld;528.542;63.181
7981;Diever;Drenthe;Westerveld;528.542;63.181
7983;Wapse;Drenthe;Westerveld;528.592;62.667
7984;Dieverbrug;Drenthe;Westerveld;528.467;63.417
7985;Geeuwenbrug;Drenthe;Westerveld;528.708;63.722
7986;Wittelte;Drenthe;Westerveld;528.292;63.361
7990;Dwingeloo;Drenthe;Westerveld;528.342;63.694
7991;Dwingeloo;Drenthe;Westerveld;528.342;63.694
8350;Wapserveen;Drenthe;Westerveld;528.258;62.181
8351;Wapserveen;Drenthe;Westerveld;528.258;62.181
8380;Vledder;Drenthe;Westerveld;528.558;62.083
8381;Vledder;Drenthe;Westerveld;528.558;62.083
8382;Frederiksoord;Drenthe;Westerveld;528.408;61.764
8383;Nijensleek;Drenthe;Westerveld;528.333;61.583
8384;Wilhelminaoord;Drenthe;Westerveld;528.558;61.639
8386;Doldersum;Drenthe;Westerveld;528.858;62.444
8387;Boschoord;Drenthe;Westerveld;528.981;62.268
8437;Zorgvlied;Drenthe;Westerveld;529.217;62.556
8438;Wateren;Drenthe;Westerveld;529.133;62.792
8439;Oude Willem;Drenthe;Westerveld;528.975;63.083
